Model Outputs
200
,,HRI_Hitesh_Lower:LAbsAnkleAngle,,,HRI_Hitesh_Lower:LAnkleAngles,,,HRI_Hitesh_Lower:LAnkleForce,,,HRI_Hitesh_Lower:LAnkleMoment,,,HRI_Hitesh_Lower:LAnklePower,,,HRI_Hitesh_Lower:LFE,,,,,,,,,HRI_Hitesh_Lower:LFO,,,,,,,,,HRI_Hitesh_Lower:LFootProgressAngles,,,HRI_Hitesh_Lower:LHipAngles,,,HRI_Hitesh_Lower:LHipForce,,,HRI_Hitesh_Lower:LHipMoment,,,HRI_Hitesh_Lower:LHipPower,,,HRI_Hitesh_Lower:LKneeAngles,,,HRI_Hitesh_Lower:LKneeForce,,,HRI_Hitesh_Lower:LKneeMoment,,,HRI_Hitesh_Lower:LKneePower,,,HRI_Hitesh_Lower:LPelvisAngles,,,HRI_Hitesh_Lower:LTI,,,,,,,,,HRI_Hitesh_Lower:LTO,,,,,,,,,HRI_Hitesh_Lower:PEL,,,,,,,,,HRI_Hitesh_Lower:RAbsAnkleAngle,,,HRI_Hitesh_Lower:RAnkleAngles,,,HRI_Hitesh_Lower:RAnkleForce,,,HRI_Hitesh_Lower:RAnkleMoment,,,HRI_Hitesh_Lower:RAnklePower,,,HRI_Hitesh_Lower:RFE,,,,,,,,,HRI_Hitesh_Lower:RFO,,,,,,,,,HRI_Hitesh_Lower:RFootProgressAngles,,,HRI_Hitesh_Lower:RHipAngles,,,HRI_Hitesh_Lower:RHipForce,,,HRI_Hitesh_Lower:RHipMoment,,,HRI_Hitesh_Lower:RHipPower,,,HRI_Hitesh_Lower:RKneeAngles,,,HRI_Hitesh_Lower:RKneeForce,,,HRI_Hitesh_Lower:RKneeMoment,,,HRI_Hitesh_Lower:RKneePower,,,HRI_Hitesh_Lower:RPelvisAngles,,,HRI_Hitesh_Lower:RTI,,,,,,,,,HRI_Hitesh_Lower:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,-3.19233,-35.0231,234.171,-198.83,389.318,513.702,350.832,350.832,350.832,,,,,,,,,,,,,-2.6396,4.56703,31.9149,,,,,,,,,,,,,,,,,,,,,,11.0657,-1.41945,1.39861,,,,,,,,,,,,,,,,,,,7.47941,9.92079,-90.9459,-249.475,307.679,855.068,173.755,173.755,173.755,5.72078,0,0,12.1961,11.883,-61.846,,,,,,,,,,8.7129,5.19199,-43.7744,-346.078,372.234,493.174,369.91,369.91,369.91,160.882,102.807,144.646,-445.63,320.956,73.6541,187.129,187.129,187.129,-87.4903,-10.2569,-13.9655,1.28577,-0.064397,47.351,,,,,,,,,,4.65796,-3.72777,1.35901,,,,,,,,,,11.0657,1.41945,-1.39861,7.07468,10.9104,-41.698,-399.827,445.935,88.9581,370.069,370.069,370.069,160.882,102.807,144.646,-460.684,260.481,71.0034,62.3765,62.3765,62.3765
2,0,,,,,,,,,,,,,,,,-3.1761,-35.0051,234.175,-198.832,389.267,513.702,350.82,350.82,350.82,,,,,,,,,,,,,-2.62887,4.57039,31.9187,,,,,,,,,,,,,,,,,,,,,,11.0664,-1.41806,1.39387,,,,,,,,,,,,,,,,,,,7.48139,9.91984,-90.9413,-249.463,307.685,855.068,173.755,173.755,173.755,5.72188,0,0,12.1963,11.8803,-61.8407,,,,,,,,,,8.70823,5.19317,-43.7883,-346.076,372.209,493.167,369.909,369.909,369.909,160.875,102.789,144.651,-445.623,320.951,73.6435,187.129,187.129,187.129,-87.4906,-10.2521,-13.9765,1.29028,-0.0673489,47.3323,,,,,,,,,,4.65663,-3.72123,1.35757,,,,,,,,,,11.0664,1.41806,-1.39387,7.07625,10.9083,-41.7143,-399.797,445.922,88.9474,370.071,370.071,370.071,160.875,102.789,144.651,-460.689,260.48,70.9933,62.3765,62.3765,62.3765
3,0,,,,,,,,,,,,,,,,-3.15473,-34.9818,234.181,-198.834,389.199,513.702,350.806,350.806,350.806,,,,,,,,,,,,,-2.61479,4.57515,31.9234,,,,,,,,,,,,,,,,,,,,,,11.0674,-1.416,1.388,,,,,,,,,,,,,,,,,,,7.4842,9.91853,-90.9356,-249.447,307.693,855.066,173.755,173.755,173.755,5.72339,0,0,12.1969,11.877,-61.8339,,,,,,,,,,8.70219,5.19441,-43.806,-346.072,372.176,493.158,369.907,369.907,369.907,160.866,102.767,144.657,-445.615,320.945,73.6307,187.129,187.129,187.129,-87.4912,-10.2466,-13.9898,1.29634,-0.0711886,47.3086,,,,,,,,,,4.65581,-3.7133,1.35634,,,,,,,,,,11.0674,1.416,-1.388,7.07814,10.9063,-41.7343,-399.761,445.905,88.9344,370.073,370.073,370.073,160.866,102.767,144.657,-460.695,260.477,70.9812,62.3765,62.3765,62.3765
4,0,,,,,,,,,,,,,,,,-3.12761,-34.9529,234.189,-198.836,389.114,513.701,350.789,350.789,350.789,,,,,,,,,,,,,-2.59698,4.58158,31.9289,,,,,,,,,,,,,,,,,,,,,,11.0688,-1.41316,1.38094,,,,,,,,,,,,,,,,,,,7.48803,9.91681,-90.9287,-249.425,307.703,855.065,173.755,173.755,173.755,5.72539,0,0,12.1978,11.8728,-61.8256,,,,,,,,,,8.69463,5.19567,-43.8277,-346.063,372.136,493.146,369.904,369.904,369.904,160.857,102.742,144.664,-445.606,320.937,73.6155,187.129,187.129,187.129,-87.4919,-10.2403,-14.0053,1.30416,-0.0760191,47.2797,,,,,,,,,,4.65577,-3.70398,1.35549,,,,,,,,,,11.0688,1.41316,-1.38094,7.08038,10.9045,-41.7581,-399.719,445.885,88.9187,370.076,370.076,370.076,160.857,102.742,144.664,-460.702,260.472,70.967,62.3765,62.3765,62.3765
5,0,,,,,,,,,,,,,,,,-3.09402,-34.9178,234.198,-198.839,389.01,513.7,350.769,350.769,350.769,,,,,,,,,,,,,-2.57498,4.58997,31.9353,,,,,,,,,,,,,,,,,,,,,,11.0706,-1.40936,1.37261,,,,,,,,,,,,,,,,,,,7.49306,9.91459,-90.9207,-249.396,307.715,855.063,173.755,173.755,173.755,5.72786,0,0,12.1991,11.8677,-61.8155,,,,,,,,,,8.68538,5.19688,-43.8538,-346.049,372.086,493.131,369.901,369.901,369.901,160.846,102.713,144.671,-445.596,320.926,73.5981,187.129,187.129,187.129,-87.4928,-10.2333,-14.0231,1.31399,-0.0819923,47.2451,,,,,,,,,,4.65677,-3.69323,1.35516,,,,,,,,,,11.0706,1.40936,-1.37261,7.08295,10.9032,-41.7859,-399.671,445.86,88.9004,370.079,370.079,370.079,160.846,102.713,144.671,-460.711,260.466,70.9507,62.3765,62.3765,62.3765
6,0,,,,,,,,,,,,,,,,-3.05333,-34.8757,234.209,-198.842,388.885,513.698,350.745,350.745,350.745,,,,,,,,,,,,,-2.54839,4.60054,31.9427,,,,,,,,,,,,,,,,,,,,,,11.073,-1.40449,1.36297,,,,,,,,,,,,,,,,,,,7.49944,9.91184,-90.9115,-249.361,307.73,855.06,173.755,173.755,173.755,5.73096,0,0,12.2009,11.8618,-61.8036,,,,,,,,,,8.67429,5.19798,-43.8846,-346.03,372.026,493.113,369.896,369.896,369.896,160.834,102.679,144.679,-445.586,320.913,73.5783,187.129,187.129,187.129,-87.4939,-10.2256,-14.0432,1.32603,-0.0891931,47.2046,,,,,,,,,,4.6591,-3.68101,1.35553,,,,,,,,,,11.073,1.40449,-1.36297,7.08589,10.9026,-41.8177,-399.618,445.832,88.8794,370.083,370.083,370.083,160.834,102.679,144.679,-460.722,260.458,70.9324,62.3765,62.3764,62.3765
7,0,,,,,,,,,,,,,,,,-3.00491,-34.8261,234.222,-198.846,388.737,513.696,350.718,350.718,350.718,,,,,,,,,,,,,-2.51679,4.61353,31.951,,,,,,,,,,,,,,,,,,,,,,11.0759,-1.39843,1.35198,,,,,,,,,,,,,,,,,,,7.5073,9.90849,-90.9009,-249.317,307.748,855.057,173.755,173.755,173.755,5.73468,0,0,12.2034,11.8549,-61.7898,,,,,,,,,,8.66123,5.19893,-43.9202,-346.003,371.956,493.091,369.89,369.89,369.89,160.822,102.643,144.688,-445.575,320.897,73.5565,187.129,187.129,187.129,-87.4953,-10.2173,-14.0653,1.34052,-0.0977415,47.1579,,,,,,,,,,4.66308,-3.6673,1.35682,,,,,,,,,,11.0759,1.39843,-1.35198,7.0892,10.9028,-41.8535,-399.56,445.798,88.8559,370.088,370.088,370.088,160.822,102.643,144.688,-460.734,260.448,70.9122,62.3765,62.3765,62.3765
8,0,,,,,,,,,,,,,,,,-2.94817,-34.7686,234.236,-198.848,388.564,513.693,350.687,350.687,350.687,,,,,,,,,,,,,-2.4798,4.62924,31.9605,,,,,,,,,,,,,,,,,,,,,,11.0795,-1.39097,1.33958,,,,,,,,,,,,,,,,,,,7.51686,9.90448,-90.8891,-249.265,307.77,855.053,173.755,173.755,173.755,5.73909,0,0,12.2066,11.8471,-61.7741,,,,,,,,,,8.64603,5.19968,-43.9606,-345.969,371.875,493.065,369.883,369.883,369.883,160.809,102.603,144.697,-445.564,320.877,73.5325,187.129,187.129,187.129,-87.4968,-10.2087,-14.0895,1.35768,-0.107853,47.1049,,,,,,,,,,4.66897,-3.65208,1.35912,,,,,,,,,,11.0795,1.39097,-1.33958,7.0929,10.9041,-41.8932,-399.497,445.761,88.8299,370.092,370.092,370.092,160.809,102.603,144.697,-460.748,260.435,70.8902,62.3765,62.3765,62.3765
9,0,,,,,,,,,,,,,,,,-2.88254,-34.7026,234.253,-198.85,388.365,513.69,350.653,350.653,350.653,,,,,,,,,,,,,-2.43705,4.64785,31.9711,,,,,,,,,,,,,,,,,,,,,,11.0838,-1.38203,1.32575,,,,,,,,,,,,,,,,,,,7.52828,9.89973,-90.876,-249.202,307.795,855.048,173.755,173.755,173.755,5.74424,0,0,12.2106,11.8383,-61.7566,-0.138988,-0.0254233,-0.00400124,-12.9732,-3.29606e-15,2.63858,0,0,0.000106073,8.62857,5.20018,-44.006,-345.926,371.782,493.035,369.875,369.875,369.875,160.795,102.559,144.707,-445.552,320.855,73.5068,187.129,187.129,187.129,-87.4986,-10.1997,-14.1155,1.3777,-0.119632,47.0457,-0.149916,0.172498,1.53935,53.7145,-27.957,3.21245,0,0,-0.00275773,4.6771,-3.63532,1.36262,-0.105341,0.0222635,0.581342,-21.3836,5.70623,2.38945,0,0,0.000307577,11.0838,1.38203,-1.32575,7.09702,10.9067,-41.9366,-399.43,445.718,88.8017,370.096,370.096,370.096,160.795,102.559,144.707,-460.764,260.42,70.8667,62.3765,62.3764,62.3764
